Longitud,Latitud,Valor
-72.99330,-51.07830,1.90000
-73.13000,-51.11140,1.50000
-73.28250,-51.11580,3.20000
-72.96690,-51.18420,1.30000
-72.32720,-51.26000,0.60000
-72.82920,-51.31390,6.80000
-73.10920,-51.33280,6.90000
-72.47810,-51.73360,0.80000
-71.94140,-52.03000,1.20000
-71.42470,-52.05110,0.90000
-72.43610,-52.09110,1.10000
-69.60780,-52.16440,0.30000
-71.68060,-52.20920,3.80000
-72.47830,-52.20940,5.70000
-71.40220,-52.44140,0.60000
-71.97470,-52.54920,1.10000
-70.07060,-52.56640,0.70000
-71.50190,-52.60420,0.40000
-69.27720,-52.76810,0.60000
-71.76420,-52.84250,4.90000
-69.93190,-52.86970,1.60000
-71.00250,-53.09190,0.90000
-70.87720,-53.12330,1.10000
-70.93580,-53.12500,1.00000
-70.98750,-53.13810,1.80000
-71.05610,-53.13970,1.60000
-71.08330,-53.18420,1.70000
-70.37000,-53.29080,0.60000
-69.26750,-53.30560,0.50000
-68.66140,-53.32170,1.10000
-71.24970,-53.40250,1.60000
-69.65060,-53.63690,0.80000
-70.96670,-53.65000,1.60000
-69.18920,-53.75940,0.80000
-69.99890,-53.85860,2.40000
-68.88440,-53.89280,0.90000
-70.07810,-53.99640,3.20000
-68.79970,-54.04970,3.20000
-68.82420,-54.33780,4.50000
-68.82440,-54.50280,2.00000
-68.68250,-54.88170,0.80000
-68.32360,-54.92560,0.80000
-67.63920,-54.94690,1.50000
-67.67440,-54.97690,1.30000
-67.07580,-55.08220,3.70000
-70.33580,-18.35140,0.00000
-70.17860,-20.53970,0.00000
-70.44110,-23.45030,0.00000
-70.77420,-27.26390,0.00000
-71.20110,-29.91750,0.10000
-71.53420,-33.03670,1.00000
-70.68280,-33.44500,0.50000
-71.21670,-34.96640,1.20000
-72.04000,-36.58720,1.90000
-73.06220,-36.77920,2.00000
-72.63690,-38.77000,2.30000
-73.08080,-39.65060,3.50000
-73.06080,-40.60500,2.80000
-73.09780,-41.43500,3.30000
-72.66390,-45.39610,5.20000
-72.10860,-45.59390,2.60000
-71.69420,-45.91280,1.10000
-71.69280,-46.58080,0.60000
-72.58640,-47.24390,1.70000
-70.84500,-53.00330,0.70000
-67.61560,-54.93170,1.60000
-58.96420,-62.19970,1.60000
-68.90720,-22.49890,0.00000
-109.42700,-27.16060,2.20000
-70.79440,-33.39190,0.40000
-70.54780,-33.45440,0.60000
-78.83500,-33.63670,2.50000
-71.61420,-33.65500,0.70000
-72.42250,-37.40280,1.80000
-71.85250,-43.18890,4.70000
-71.80530,-43.61170,1.90000
-72.52890,-51.66720,1.70000
-70.32030,-53.18750,1.20000
-81.35800,13.35700,4.30000
-81.71700,12.58300,4.80000
-72.92600,11.52600,2.00000
-74.23100,11.12000,1.40000
-74.78100,10.89000,0.00000
-75.51300,10.44200,3.40000
-73.25000,10.43500,2.60000
-75.82600,8.82400,2.90000
-72.51200,7.92800,1.40000
-76.71600,7.81200,9.50000
-73.18500,7.12700,3.90000
-70.73700,7.06900,4.50000
-73.80700,7.02400,8.10000
-58.15000,6.80000,7.30000
-58.25000,6.50000,6.40000
-75.59100,6.22000,4.50000
-67.50000,6.16700,5.30000
-75.42300,6.16500,5.30000
-76.64100,5.69100,17.10000
-55.18800,5.45300,7.10000
-52.36700,4.83300,11.70000
-75.74000,4.81300,6.60000
-74.15000,4.70100,3.50000
-75.76600,4.45300,4.90000
-75.13300,4.42200,4.90000
-73.61400,4.16800,10.90000
-76.38300,3.55000,2.10000
-75.29400,2.95000,3.60000
-77.26700,1.41700,3.90000
-77.67200,0.86200,2.30000
-77.81700,0.60000,4.60000
-51.07200,0.05100,9.40000
-79.36700,0.01700,11.60000
-78.55000,-0.35000,6.70000
-47.38300,-0.61700,12.70000
-75.41700,-0.91700,7.60000
-89.61700,-0.91700,2.00000
-48.47600,-1.37900,7.30000
-77.90000,-1.50000,12.30000
-52.20000,-3.20000,9.70000
-73.30000,-3.78300,11.00000
-49.72000,-3.78600,10.30000
-32.41700,-3.85000,4.30000
-79.20000,-4.03300,5.10000
-69.94300,-4.19300,9.80000
-42.81700,-5.05000,4.10000
-49.13800,-5.36900,8.10000
-61.27800,-5.81100,10.00000
-76.36700,-6.50000,4.00000
-34.86700,-7.10000,6.80000
-78.48900,-7.13900,3.70000
-35.88300,-7.21700,4.00000
-74.57400,-8.37800,5.40000
-35.78300,-9.51700,3.40000
-66.11700,-11.00000,9.10000
-68.78000,-11.03000,8.60000
-77.11400,-12.02200,0.20000
-69.22900,-12.61400,18.20000
-60.09800,-12.69400,2.90000
-64.66700,-13.06700,11.20000
-74.20400,-13.15500,3.90000
-64.70000,-13.30000,7.50000
-64.11700,-13.33300,9.20000
-71.93900,-13.53600,4.00000
-65.43500,-13.76200,9.80000
-66.78300,-14.06700,9.30000
-67.36700,-14.30000,13.70000
-67.57000,-14.47000,11.50000
-64.91800,-14.81900,10.00000
-66.75000,-14.86700,14.00000
-65.63300,-14.96700,15.80000
-70.15800,-15.46700,5.10000
-63.10000,-15.71700,11.80000
-62.10000,-16.25000,7.90000
-62.46700,-16.26700,10.10000
-71.56700,-16.33200,2.30000
-58.38300,-16.33300,12.80000
-68.19200,-16.51300,3.70000
-43.86700,-16.71700,8.30000
-66.18000,-17.42000,3.00000
-63.13500,-17.64500,8.70000
-63.17100,-17.81200,8.00000
-60.75000,-17.83300,9.70000
-67.07600,-17.96300,3.40000
-59.75000,-18.31700,8.40000
-64.10000,-18.46700,5.00000
-57.82100,-18.97500,8.90000
-65.72400,-19.54300,4.80000
-43.96900,-19.63400,13.40000
-43.91700,-19.83300,3.50000
-63.56700,-20.05000,4.30000
-63.40600,-21.25500,9.30000
-64.70000,-21.55000,5.70000
-41.30200,-21.69800,7.20000
-63.65000,-21.95000,8.40000
-60.60000,-22.01700,5.50000
-65.60000,-22.10000,3.60000
-57.93300,-22.28300,12.30000
-55.83300,-22.60000,10.30000
-63.79400,-22.62000,8.30000
-43.24400,-22.80900,2.60000
-64.32900,-23.15300,6.40000
-57.41700,-23.43000,9.90000
-58.78300,-23.50000,8.20000
-46.65000,-23.61700,2.60000
-54.35000,-24.03300,9.80000
-57.08300,-24.06700,12.50000
-65.09800,-24.39300,6.80000
-56.43300,-24.66700,14.70000
-60.58300,-24.70000,6.80000
-58.83300,-24.75000,8.00000
-65.48300,-24.85000,5.30000
-57.51900,-25.24000,8.50000
-56.40000,-25.46700,10.50000
-54.48700,-25.59600,4.40000
-57.13300,-25.63300,11.70000
-54.46700,-25.73300,10.20000
-56.43300,-25.76700,10.60000
-56.36700,-26.18300,9.80000
-58.22800,-26.21300,9.80000
-57.15000,-26.66700,10.00000
-60.48300,-26.73300,8.50000
-65.10500,-26.84100,6.70000
-58.31700,-26.85000,11.40000
-55.20000,-26.93300,10.80000
-55.90000,-27.30000,11.70000
-55.97100,-27.38600,11.30000
-58.76200,-27.44600,7.80000
-59.05000,-27.45000,8.70000
-64.30000,-27.76700,7.40000
-65.75200,-28.59600,6.00000
-59.70000,-29.18300,6.60000
